timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2025/08/22 16:56:22.412, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:56:32.417, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:56:42.421, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:56:52.425, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:57:02.429, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:57:12.434, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:57:22.437, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:57:32.442, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:57:42.446, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:57:52.450, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:58:02.455, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:58:12.459, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:58:22.463, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:58:32.469, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:58:42.472, 0 %, 0 %, 1126 MiB, 81920 MiB, 63.91 W, 37
2025/08/22 16:58:52.476, 11 %, 0 %, 1142 MiB, 81920 MiB, 65.46 W, 38
2025/08/22 16:59:02.481, 0 %, 0 %, 1142 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 16:59:12.487, 1 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 16:59:22.491, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 16:59:32.497, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 16:59:42.501, 3 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 16:59:52.505, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:00:02.510, 8 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:00:12.514, 2 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:00:22.518, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:00:32.523, 3 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:00:42.527, 1 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:00:52.532, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:01:02.536, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:01:12.541, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:01:22.544, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
